nm_municipio,votos_deputado,valor_emenda,market_share,idh,populacao,votos_per_capita,emenda_per_capita,categoria_idh
EUCLIDES DA CUNHA PAULISTA,0,0.0,0.0,0.704,9537.0,0.0,0.0,Alto
ADAMANTINA,14,0.0,0.0003104625892579944,0.79,33821.0,0.00041394399929038173,0.0,Alto
BOREBI,0,0.0,0.0,0.705,2321.0,0.0,0.0,Alto
ADOLFO,1,0.0,2.2175899232713886e-05,0.73,3548.0,0.0002818489289740699,0.0,Alto
TARUMA,2,0.0,4.435179846542777e-05,0.753,13050.0,0.0001532567049808429,0.0,Alto
AGUAI,16,0.0,0.00035481438772342217,0.715,32452.0,0.0004930358683594232,0.0,Alto
MOTUCA,1,0.0,2.2175899232713886e-05,0.741,4323.0,0.0002313208420078649,0.0,Alto
AGUAS DA PRATA,1,0.0,2.2175899232713886e-05,0.781,7619.0,0.000131250820317627,0.0,Alto
IARAS,1,0.0,2.2175899232713886e-05,0.674,6631.0,0.00015080681646810435,0.0,Médio
AGUAS DE LINDOIA,13,0.0,0.0002882866900252805,0.745,17354.0,0.0007491068341592716,0.0,Alto
GUATAPARA,1,0.0,2.2175899232713886e-05,0.743,7012.0,0.0001426126640045636,0.0,Alto
AGUAS DE SAO PEDRO,0,0.0,0.0,0.854,2771.0,0.0,0.0,Muito Alto
DIRCE REIS,0,0.0,0.0,0.741,1695.0,0.0,0.0,Alto
AGUDOS,17,0.0,0.00037699028695613605,0.745,34681.0,0.0004901819440039215,0.0,Alto
ESPIRITO SANTO DO TURVO,10,0.0,0.00022175899232713888,0.696,4288.0,0.0023320895522388058,0.0,Médio
ALFREDO MARCONDES,0,0.0,0.0,0.741,3906.0,0.0,0.0,Alto
ROSANA,14,0.0,0.0003104625892579944,0.764,19343.0,0.0007237760430129763,0.0,Alto
ALTAIR,4,0.0,8.870359693085554e-05,0.687,3837.0,0.0010424811050299713,0.0,Médio
EMBAUBA,2,0.0,4.435179846542777e-05,0.73,2419.0,0.0008267879288962381,0.0,Alto
ALTINOPOLIS,23,0.0,0.0005100456823524193,0.73,15617.0,0.0014727540500736377,0.0,Alto
ILHA SOLTEIRA,39,172587.0,0.0008648600700758416,0.812,25146.0,0.0015509424958243855,6.863397757098545,Muito Alto
ALTO ALEGRE,1,0.0,2.2175899232713886e-05,0.7,4090.0,0.00024449877750611245,0.0,Médio
ALUMINIO,17,0.0,0.00037699028695613605,0.766,16961.0,0.0010022993927244856,0.0,Alto
ALVARES FLORENCE,0,0.0,0.0,0.728,3865.0,0.0,0.0,Alto
PEDRINHAS PAULISTA,1,0.0,2.2175899232713886e-05,0.774,2947.0,0.00033932813030200206,0.0,Alto
ALVARES MACHADO,13,0.0,0.0002882866900252805,0.758,23579.0,0.0005513380550489843,0.0,Alto
ARACARIGUAMA,11,0.0,0.00024393489155985276,0.704,17535.0,0.0006273167949814657,0.0,Alto
ALVARO DE CARVALHO,1,0.0,2.2175899232713886e-05,0.688,4692.0,0.00021312872975277067,0.0,Médio
BERTIOGA,17,0.0,0.00037699028695613605,0.73,48997.0,0.00034696001796028327,0.0,Alto
ALVINLANDIA,2,0.0,4.435179846542777e-05,0.722,3013.0,0.0006637902422834385,0.0,Alto
SUZANAPOLIS,1,0.0,2.2175899232713886e-05,0.699,3429.0,0.00029163021289005544,0.0,Médio
AMERICANA,154,0.0,0.0034150884818379386,0.811,212791.0,0.0007237148187658313,0.0,Muito Alto
SANTO ANTONIO DO ARACANGUA,2,0.0,4.435179846542777e-05,0.757,7680.0,0.00026041666666666666,0.0,Alto
AMERICO BRASILIENSE,14,0.0,0.0003104625892579944,0.751,34954.0,0.0004005264061337758,0.0,Alto
CANITAR,0,0.0,0.0,0.68,4438.0,0.0,0.0,Médio
AMERICO DE CAMPOS,0,0.0,0.0,0.745,5715.0,0.0,0.0,Alto
BARRA DO CHAPEU,0,0.0,0.0,0.66,5275.0,0.0,0.0,Médio
AMPARO,45,0.0,0.0009979154654721249,0.785,66246.0,0.0006792862965311113,0.0,Alto
EMILIANOPOLIS,2,0.0,4.435179846542777e-05,0.727,3030.0,0.0006600660066006601,0.0,Alto
ANALANDIA,7,0.0,0.0001552312946289972,0.754,4348.0,0.001609935602575897,0.0,Alto
NOVAIS,1,0.0,2.2175899232713886e-05,0.719,4697.0,0.00021290185224611454,0.0,Alto
ANDRADINA,30,0.0,0.0006652769769814166,0.779,55348.0,0.0005420250054202501,0.0,Alto
NOVA CANAA PAULISTA,0,0.0,0.0,0.715,2086.0,0.0,0.0,Alto
ANGATUBA,13,0.0,0.0002882866900252805,0.719,22434.0,0.0005794775786752252,0.0,Alto
SALTINHO,2,0.0,4.435179846542777e-05,0.791,7156.0,0.00027948574622694243,0.0,Alto
ANHEMBI,3,0.0,6.652769769814166e-05,0.721,5739.0,0.0005227391531625719,0.0,Alto
UBARANA,6,0.0,0.00013305539539628332,0.7,5372.0,0.0011169024571854058,0.0,Médio
ANHUMAS,6,0.0,0.00013305539539628332,0.741,3764.0,0.001594048884165781,0.0,Alto
CAJATI,5,0.0,0.00011087949616356944,0.694,28307.0,0.0001766347546543258,0.0,Médio
APARECIDA,20,0.0,0.00044351798465427775,0.755,35015.0,0.000571183778380694,0.0,Alto
CAMPINA DO MONTE ALEGRE,1,0.0,2.2175899232713886e-05,0.717,5595.0,0.00017873100983020553,0.0,Alto
APARECIDA D OESTE,6,0.0,0.00013305539539628332,,,,,
ASPASIA,1,0.0,2.2175899232713886e-05,0.735,1806.0,0.0005537098560354374,0.0,Alto
APIAI,3,0.0,6.652769769814166e-05,0.71,25040.0,0.00011980830670926518,0.0,Alto
VARGEM,7,0.0,0.0001552312946289972,0.699,8942.0,0.000782822634757325,0.0,Médio
ARACATUBA,88,0.0,0.001951479132478822,0.788,182526.0,0.0004821230947919748,0.0,Alto
POTIM,11,0.0,0.00024393489155985276,0.697,19842.0,0.000554379598830763,0.0,Médio
ARACOIABA DA SERRA,9,0.0,0.00019958309309442497,0.776,27874.0,0.0003228815383511516,0.0,Alto
ALAMBARI,3,0.0,6.652769769814166e-05,0.712,4979.0,0.0006025306286402892,0.0,Alto
ARAMINA,17,0.0,0.00037699028695613605,0.74,5182.0,0.0032805866460825935,0.0,Alto
ITAOCA,1,0.0,2.2175899232713886e-05,0.68,3229.0,0.0003096934035305048,0.0,Médio
ARANDU,4,0.0,8.870359693085554e-05,0.685,6128.0,0.0006527415143603133,0.0,Médio
TUIUTI,0,0.0,0.0,0.728,6005.0,0.0,0.0,Alto
ARARAQUARA,137,0.0,0.0030380981948818025,0.815,210673.0,0.0006502969056310016,0.0,Muito Alto
ARAPEI,0,0.0,0.0,0.68,2484.0,0.0,0.0,Médio
ARARAS,101,0.0,0.0022397658225041025,0.781,119968.0,0.0008418911709789277,0.0,Alto
ESTIVA GERBI,4,0.0,8.870359693085554e-05,0.74,10136.0,0.0003946329913180742,0.0,Alto
